record_type|counterparty_name|country|isin
D|13690|ADV MICRO DEVICES INC*|SG|0000000000100146172
D|80550|ADVANCED SYSTEM*|SG|0000000000100058025
D|79965|ADVANTEST CORP*|SG|0000000000100250826
D|7648|AE ROTOR HLDGS BV*|SG|0000000000100162770
D|25851|AEGEA FIN SARL*|SG|0000000000100196163
D|6291|AEGON NV*|SG|0000000000100119185
D|77045|AEM HLDGS LTD*|SG|0000000000100067425
D|28193|AEON CO (M) BHD*|SG|0000000000100202760
D|28193|AEON CO (M) BHD*|MY|0000000000100129783
D|48790|AEON CREDIT SVC (M)*|MY|0000000000100131833
D|38648|AEON THANA SINSAP*|SG|0000000000100205801
D|8568|AEROPORTS DE PARIS*|SG|0000000000100157241
D|18898|AEROPOSTALE INC*|SG|0000000000100155257
D|12614|AEROSPACE SATELLITE CORP HLDG*|SG|0000000000100157787
D|45375|AEROVIAS DE MX SDC*|SG|0000000000100213717
D|17771|AES GENER SA*|SG|0000000000100167836
D|11733|AETNA INC*|SG|0000000000100119151
D|1483|AFFIN BK-KL|MY|0000000000100083938
D|64915|AFFLELOU S.A.S*|SG|0000000000100226350
D|19466|AFRICA FIN CORP*|TW|0000000000100000103
D|19466|AFRICA FIN CORP*|SG|0000000000100176883
D|19627|AFRICAN EXP-IMP BK-CAIRO|SG|0000000000100177478
D|21111|AG INS SA NV*|SG|0000000000100183351
D|4394|AG2R LA MONDIALE VIE*|SG|0000000000100163161
D|10817|AGEAS CAP (ASIA) LTD*|SG|0000000000100163190
D|44403|AGEAS FINANCE NV*|SG|0000000000100212370
D|82322|AGENCE FRANC DE DEV*|SG|0000000000100137091
D|72636|AGI FINANCE PL*|MY|0000000000100210246
D|27182|AGILE GRP HLDGS LTD*|SG|0000000000100143105
D|7214|AGILENT TECH INC*|SG|0000000000100161341
D|26767|AGL ENERGY LTD*|AU|0000000000100000735
D|26767|AGL ENERGY LTD*|SG|0000000000100198287
D|5700|AGNICO-EAGLE MINES LTD*|SG|0000000000100142824
D|2346|AGRIC BK CHINA-BJG|CN|0000000000100000304
D|20637|AGRIC BK CHINA-LDN|SG|0000000000100221211
D|19993|AGRIC BK CHINA-NY|TW|0000000000100000076
D|19993|AGRIC BK CHINA-NY|HK|0000000000100003151
D|19993|AGRIC BK CHINA-NY|SG|0000000000100178821
D|1815|AGRIC BK CHINA-SH|CN|0000000000100000014
D|30030|AGRIC BK CHINA-SL|KR|0000000000100000229
D|30030|AGRIC BK CHINA-SL|SG|0000000000100184668
D|16452|AGRIUM INC*|SG|0000000000100163072
D|9773|AIA GROUP LTD*|TW|0000000000100000188
D|9773|AIA GROUP LTD*|HK|0000000000100003390
D|9773|AIA GROUP LTD*|SG|0000000000100148878
D|9773|AIA GROUP LTD*|MY|0000000000100129481
D|23985|AIA INVT MGT PL*|SG|0000000000100189763
D|78644|AIA PARUSD S01PUAPC*|SG|0000000000100033033
D|16244|AIA SPL*|SG|0000000000100033033
D|42515|AIA3 TMK*|JP|0000000000100000129
D|85365|AIB GRP PLC*|SG|0000000000100214644
D|30823|AIBBMYKL|MY|0000000000100059361
D|14566|AIFUL CORP*|SG|0000000000100149574
D|19182|AIG INC*|SG|0000000000100119023
D|7333|AIG SUNAMER*|SG|0000000000100112601
D|80546|AIIF CAP PART*|SG|0000000000100173500
D|80545|AIIF CAP PARTII*|SG|0000000000100211560
D|9512|AIMS AMP CAP IND REIT*|SG|0000000000100159859
D|14900|AIR CHINA LTD*|SG|0000000000100145650
D|62140|AIR FRANCE-KLM*|SG|0000000000100223494
D|68472|AIR LEASE CORPORATI*|TW|0000000000100000209
D|12924|AIR LIQUIDE FIN*|SG|0000000000100150126
D|66647|AIR NEW ZEALAND LTD*|SG|0000000000100228613
D|3504|AIR PRODUCT AND CHEM*|SG|0000000000100119181
D|56921|AIRBNB INC*|SG|0000000000100219136
D|18091|AIRBUS GRP FIN BV*|SG|0000000000500044836
D|26072|AIRBUS SE*|SG|0000000000100200215
D|26072|AIRBUS SE*|GB|0000000000100000173
D|6423|AIRBUS*|SG|0000000000500045512
D|80302|AIRCASTLE LTD*|SG|0000000000100251294
D|38626|AIRPORT AUTH HK*|HK|0000000000100001942
D|38626|AIRPORT AUTH HK*|SG|0000000000100205771
D|9424|AIRPORT OF THAILAND PCL*|SG|0000000000100149698
D|77155|AIRSERVICES AUST*|SG|0000000000100246628
D|77155|AIRSERVICES AUST*|MY|0000000000100233348
D|18989|AIRTAC INTL GRP*|SG|0000000000100149350
D|30816|AISLMYK1|MY|0000000000100066371
D|46762|AJINOMOTO CO INC*|SG|0000000000100124838
D|22555|AK FINANSAL KIRALA*|SG|0000000000100188088
D|2869|AKBANK TAS-IST|SG|0000000000100113569
D|71547|AKCB FINANCE LTD*|SG|0000000000100237156
D|86903|AKESO INC*|SG|0000000000100259282
D|62708|AKRA LAND*|TH|0000000003102898788
D|9411|AKZO NOBEL NV*|SG|0000000000100118303
D|14260|AKZO NOBEL SWEDEN FIN AB*|SG|0000000000100158273
D|60277|AL AHLI BK KUWAIT-KW|SG|0000000000100141763
D|83538|AL RAJHI CD LTD*|SG|0000000000100254875
D|10844|ALAM SUTERA INTL PL*|SG|0000000000100156974
D|8181|ALAM SYNERGY PL*|SG|0000000000100162617
D|41232|ALBEMARLE CORP*|SG|0000000000100208475
D|5555|ALCATEL-LUCENT*|SG|0000000000100142919
D|16402|ALCATEL-LUCENT-SPONSORED ADR*|SG|0000000000100143075
D|16333|ALCOA INC*|SG|0000000000100119019
D|67672|ALCOA NEDERLAND HDG*|SG|0000000000100230154
D|55522|ALDAR SUKUK LTD*|SG|0000000000100217610
D|35470|ALDZAASSET|MY|0000000000100118852
D|6239|ALEXION PHARMACEUTICALS INC*|SG|0000000000100163229
D|17637|ALFA LAVAL AB*|SG|0000000000100172644
D|17310|ALFA LAVAL TSY INTL AB*|SG|0000000000100172750
D|16587|ALFA MTN INV LTD*|SG|0000000000100151050
D|15746|ALFA MTN MKTS FOR ABH FIN LTD*|SG|0000000000100151051
D|9060|ALIBABA GP HLDG LTD*|TW|0000000000100000071
D|9060|ALIBABA GP HLDG LTD*|HK|0000000000100002252
D|9060|ALIBABA GP HLDG LTD*|SG|0000000000100173763
D|9060|ALIBABA GP HLDG LTD*|MY|0000000000100234135
D|49010|ALIBABA HEALTH INFO*|SG|0000000000100216879
D|49563|ALIGN TECH INC*|SG|0000000000100217467
D|26999|ALIMENTATION COUCHE*|TW|0000000000100000182
D|26999|ALIMENTATION COUCHE*|SG|0000000000100199075
D|16259|ALLEGRO INV CORP SA*|SG|0000000000100155626
D|19115|ALLERGAN INC*|SG|0000000000100119152
D|21453|ALLERGAN PLC*|SG|0000000000100184709
D|17829|ALLGREEN PROPERTIES LTD*|SG|0000000000100032098
D|45057|ALLGREEN TRSY PL*|SG|0000000000100213156
D|2000|ALLIANCE BK-KL|MY|0000000000100031458
D|16616|ALLIANCE FIN GP BHD*|SG|0000000000100135217
D|2988|ALLIANCE GLB GRP INC CAYMAN*|SG|0000000000100145197
D|27259|ALLIANCEBERNSTEIN*|SG|0000000000100200015
D|21545|ALLIANDER NV*|SG|0000000000100184999
D|17725|ALLIANZ FIN II*|SG|0000000000100118071
D|25565|ALLIANZ GLB IN GMBH*|SG|0000000000100169549
D|46614|ALLIANZ S*|SG|0000000000100180972
D|46614|ALLIANZ S*|MY|0000000000100136437
D|6058|ALLIED DOMECQ FIN SVS*|SG|0000000000100112618
D|16422|ALLSTATE CORP*|SG|0000000000100117091
D|13893|ALLSTATE LIFE GLOBAL FUNDING*|SG|0000000000100118162
D|6373|ALLTEL CORP*|SG|0000000000100119020
D|70751|ALLY FINL INC-DE|SG|0000000000100235420
D|72979|ALNYLAM PHARMA INC*|SG|0000000000100240367
D|45189|ALPEK SAB DE CV*|SG|0000000000100213380
D|9807|ALPHA NATURAL RES INC*|SG|0000000000100149251
D|20359|ALPHABET INC*|TW|0000000000100000153
D|20359|ALPHABET INC*|SG|0000000000700101038
D|6508|ALQUIP SDN BHD*|SG|0000000000100155032
D|36403|ALSRMYKL|MY|0000000000100066444
D|24616|ALTABA INC*|SG|0000000002500134960
D|27597|ALTIUM LTD*|SG|0000000000100201000
D|17183|ALTRIA GP INC*|TW|0000000000100000122
D|17183|ALTRIA GP INC*|SG|0000000000100138033
D|15165|ALTUS CAP LTD*|SG|0000000000100141847
D|17034|ALUMIMUM CORP OF CHINA LTD*|HK|0000000000100003886
D|17034|ALUMIMUM CORP OF CHINA LTD*|SG|0000000000100139333
D|17034|ALUMIMUM CORP OF CHINA LTD*|CN|0000000009100008468
D|63736|ALUMINUM CORP CHINA*|HK|0000000000100004210
D|63736|ALUMINUM CORP CHINA*|SG|0000000000100224772
D|63736|ALUMINUM CORP CHINA*|CN|0000000009100008470
D|39757|AMAN SUKUK BHD*|MY|0000000000100120851
D|68754|AMANAT LEBUHRAYA RAK|MY|0000000000100141132
D|14481|AMATA CORP PCL*|SG|0000000000100149471
D|13622|AMAZON.COM INC*|SG|0000000000100161336
D|13622|AMAZON.COM INC*|MY|0000000000100146796
D|4083|AMBAC FIN GP INC-NY|SG|0000000000100119021
D|1968|AMBANK-KL|MY|0000000000100027107
D|39302|AMBER CIRCLE FUND*|TW|0000000000100000116
D|39302|AMBER CIRCLE FUND*|SG|0000000000100160585
D|24791|AMBER TREASURE VENT*|HK|0000000000100003161
D|24791|AMBER TREASURE VENT*|SG|0000000000100194094
D|24760|AMC ENTERTAINMENT*|SG|0000000000100194032
D|22036|AMCOR FIN USA INC*|SG|0000000000100186460
D|9462|AMER EXPRESS CR CO*|SG|0000000000100143358
D|18946|AMERICA MOVIL SAB*|TW|0000000000100000229
D|18946|AMERICA MOVIL SAB*|SG|0000000000100173650
D|27186|AMERICAN AIRLINE GP*|SG|0000000000100199740
D|59358|AMERICAN AIRLINES*|SG|0000000000100221088
D|18639|AMERICAN EXPR CO*|TW|0000000000100000243
D|18639|AMERICAN EXPR CO*|HK|0000000000100004392
D|18639|AMERICAN EXPR CO*|SG|0000000000100156696
D|13834|AMERICAN GENERAL FIN CORP*|SG|0000000000100132586
D|23068|AMERICAN HONDA FIN*|SG|0000000000100189569
D|64890|AMERICAN NATIONAL G*|SG|0000000000100226313
D|27000|AMERICAN TWR CORP*|TW|0000000000100000189
D|27000|AMERICAN TWR CORP*|HK|0000000000100003155
D|27000|AMERICAN TWR CORP*|SG|0000000000100199076
D|47410|AMERISOURCEBER CORP*|TW|0000000000100000144
D|47410|AMERISOURCEBER CORP*|SG|0000000000100161257
D|3440|AMGEN INC*|TW|0000000000100000100
D|3440|AMGEN INC*|SG|0000000000100160748
D|19972|AMIPEACE LTD*|TW|0000000000100000130
D|19972|AMIPEACE LTD*|HK|0000000000100004031
D|19972|AMIPEACE LTD*|SG|0000000000100178723
D|15480|AMMB HLDGS BHD*|SG|0000000000100139683
D|19412|AMP BK LTD-SYD|AU|0000000000100000097
D|19412|AMP BK LTD-SYD|SG|0000000000100156518
D|14853|AMP GRP FIN SVS LTD*|AU|0000000000100000058
D|14853|AMP GRP FIN SVS LTD*|SG|0000000000100112602
D|18145|AMP GRP HLDG LTD*|SG|0000000000100121093
D|41588|AMP LTD*|SG|0000000000100185199
D|70576|AMPOL LTD*|SG|0000000000300398751
D|42013|AMS AG*|SG|0000000000100190885
D|23296|AMSTEL FIN SVC(S)PL*|SG|0000000000100170724
D|6107|ANADARKO PETRO*|SG|0000000000100118572
D|21740|ANADOLU EFES*|SG|0000000000100185936
D|8305|ANALOG DEVICES INC*|SG|0000000000100172721
D|11786|ANGANG STEEL CO LTD*|SG|0000000000100139310
D|61096|ANGELALIGN TECH INC*|SG|0000000000100222423
D|27158|ANGLIAN WATER OSPRE*|SG|0000000000100199647
D|68331|ANGLIAN WATER SVCS*|SG|0000000000100231018
D|25908|ANGLO AMERICAN CAP*|HK|0000000000100003041
D|25908|ANGLO AMERICAN CAP*|SG|0000000000100151484
D|5923|ANGLO AMERICAN PLC*|SG|0000000000100151483
D|11061|ANGLOGOLD ASH HLDGS*|SG|0000000000100173546
D|9573|ANGLOGOLD ASHANTI LTD*|SG|0000000000100142765
D|7882|ANHEUSER BUSCH CO*|SG|0000000000100119182
D|21263|ANHEUSER-BUSCH INBE*|TW|0000000000100000072
D|21263|ANHEUSER-BUSCH INBE*|HK|0000000000100003154
D|21263|ANHEUSER-BUSCH INBE*|SG|0000000000100183960
D|12135|ANHEUSER-BUSCH INBEV NV*|TW|0000000000100000072
D|12135|ANHEUSER-BUSCH INBEV NV*|SG|0000000000100144342
D|3456|ANHEUSER-BUSCH INBEV WORLDWIDE*|TW|0000000000100000181
D|3456|ANHEUSER-BUSCH INBEV WORLDWIDE*|HK|0000000000100004216
D|3456|ANHEUSER-BUSCH INBEV WORLDWIDE*|SG|0000000000100144343
D|44390|ANHEUSER-BUSCH SA*|SG|0000000000100212352
D|8879|ANHUI CONCH CEMENT CL-H*|SG|0000000000100140844
D|28362|ANHUI INVT GRP CL*|SG|0000000000100203255
D|22609|ANHUI TPT HLDG (HK)*|SG|0000000000100188335
D|38788|ANIH BHD*|MY|0000000000100119824
D|81830|ANNALY CAP MGT IN*|SG|0000000000100166514
D|5564|ANTA SPORTS PRDTS LTD*|SG|0000000000100161145
D|5564|ANTA SPORTS PRDTS LTD*|CN|0000000000100000364
D|3881|ANTON OILFIELD SVCS GRP*|SG|0000000000100172053
D|80767|ANZ HLDGS (NZ) LTD*|SG|0000000000100160135
D|18347|ANZ WEALTH AUSTRALIA LTD*|SG|0000000000100166654
D|1798|ANZ-HK|MY|0000000000100028229
D|1214|ANZ-MLB|MY|0000000000100028198
D|1214|ANZ-MLB|CN|0000000000100000016
D|2434|ANZ-NY|MY|0000000000100028230
D|2152|ANZ-S|MY|0000000000100028218
D|1215|ANZ-WLG|MY|0000000000100028199
D|42745|AOZORA BK-TKY|SG|0000000000100141506
D|55170|AP (TH) PCL*|TH|0000000003100335610
D|8845|APA GRP*|SG|0000000000100151731
D|81103|APA INFRASTRUCTURE*|TW|0000000000100000187
D|81103|APA INFRASTRUCTURE*|SG|0000000000100198834
D|26863|APACHE CORPORATION*|SG|0000000000100172049
D|48475|APEX HEALTHCARE BHD*|MY|0000000000100036238
D|25802|APICORP SUKUK LTD*|SG|0000000000100196037
D|24398|APL REALTY HLDGS PL*|SG|0000000000100192866
D|79720|APLIKASI KARYA ANAK*|SG|0000000001600145284
D|17347|APM AUTO HLDG BHD*|SG|0000000000100149472
D|27600|APPEN LTD*|SG|0000000000100201002
D|57302|APPIAN CORP*|SG|0000000000100219435
D|17790|APPLE INC*|TW|0000000000100000015
D|17790|APPLE INC*|SG|0000000000100139311
D|17790|APPLE INC*|MY|0000000000100132176
D|6110|APPLIED MATLS INC*|SG|0000000000100144136
D|56131|APTIV PLC*|SG|0000000000100218236
D|11320|AQUAIRUS INV FOR SWISS*|SG|0000000000100162331
D|4629|AQUARIUS PLATINUM LTD*|SG|0000000000100146984
D|24733|ARA ASSET MGT LTD*|HK|0000000000100002511
D|24733|ARA ASSET MGT LTD*|SG|0000000000100141821
D|16113|ARCELIK AS*|SG|0000000000100172722
D|11966|ARCELORMITTAL*|SG|0000000000100148310
D|14983|ARCHER DANIELS MIDLAND CO*|SG|0000000000100161571
D|59851|ARCHER-DANIELS-MID*|SG|0000000000100161571
D|25091|ARCONIC INC*|SG|0000000000100194938
D|11480|ARCONTECH CORP*|SG|0000000000100154013
D|74041|ARGENTUM NETHERLAND*|SG|0000000000400065043
D|80818|ARGENTUM NL BV ZUR*|SG|0000000000100252019
D|1216|ARGOR HERAEUS SA*|SG|0000000000100135195
D|87474|ARION BANKI HF-RKV|SG|0000000000100260074
D|79230|ARISTA NETWORKS INC*|SG|0000000000100226361
D|19975|ARIZONA PUBLIC SVC*|SG|0000000000100178743
D|56115|ARK INVT MGT LLC*|SG|0000000000100218212
D|21978|ARKEMA SA*|SG|0000000000100186277
D|3390|ARM HLDGS PLC*|SG|0000000000100148043
D|18102|ARPENI PRATAMA OCEAN LIN*|SG|0000000000100117089
D|18959|ARRIUM LTD*|SG|0000000001500090032
D|23246|ASAHI MUTUAL LIFE*|SG|0000000000100116655
D|7699|ASCENDAS HOSP TR MG*|SG|0000000000100176430
D|68321|ASCENDAS HOSPITALIT*|JP|0000000000100000149
D|13827|ASCENDAS HOSPITALITY TR*|SG|0000000000100163405
D|68322|ASCENDAS JPN NAMBA*|JP|0000000000100000150
D|14138|ASCENDAS PL*|SG|0000000000100124828
D|10328|ASCENDAS PROP FD TR*|SG|0000000000100158205
D|19634|ASCENDAS RE INVT TR*|SG|0000000000100177484
D|19532|ASCIANO FIN LTD*|SG|0000000000100177197
D|19532|ASCIANO FIN LTD*|MY|0000000000100139135
D|8219|ASCOTT CAPITAL PL*|SG|0000000001900132302
D|8219|ASCOTT CAPITAL PL*|TH|0000000002000001043
D|29801|ASCOTT REIT MTN P L*|SG|0000000000100203693
D|10796|ASCOTT RESIDENCE TRUST*|SG|0000000000100115388
D|71916|ASHTEAD CAPITAL INC*|SG|0000000000100237823
D|80542|ASIA IMP I F II*|SG|0000000000100210001
D|80541|ASIA IMPACT INV*|SG|0000000000100178958
D|50096|ASIA SERMKIJ LEASIN*|TH|0000000003100474677
D|2484|ASIAN DEVE-MAN|MY|0000000000100048344
D|2484|ASIAN DEVE-MAN|CN|0000000008900003494
D|19375|ASIAN PAC HLDGS BHD*|SG|0000000000100145651
D|24326|ASIAN PAY TV TR*|SG|0000000000100192611
D|20503|ASICS CORP*|SG|0000000000100180934
D|53924|ASITAKIJ CL*|TH|0000000003102993816
D|3338|ASL MARINE HLDG LTD*|SG|0000000000100095461
D|21543|ASML HLDG NV*|SG|0000000000100185000
D|82030|ASMPT LTD*|SG|0000000000100097093
D|14724|ASPIAL CORP LTD*|SG|0000000001200150852
D|20051|ASPIAL TSY PL*|SG|0000000000100179105
D|28452|ASTELLAS PHARMA INC*|SG|0000000000100203515
D|10618|ASTRAZENECA PLC*|SG|0000000000100125803
D|66354|ASTREA 7 PL*|SG|0000000000100228200
D|79583|ASTREA 8 PL*|SG|0000000000100250300
D|87090|ASTREA 9 PL*|SG|0000000000100259493
D|21680|ASTREA III PL*|SG|0000000000100185578
D|27482|ASTREA IV PL*|SG|0000000000100200622
D|41098|ASTREA V PL*|SG|0000000000100208336
D|57997|ASTREA VI PL*|SG|0000000000100219888
D|9271|ASTRO MY HLDGS BHD*|SG|0000000000100166813
D|2830|ASX*|SG|0000000000100177477
D|11300|AT&T INC*|TW|0000000000100000077
D|11300|AT&T INC*|HK|0000000000100003042
D|11300|AT&T INC*|SG|0000000000100118958
D|11300|AT&T INC*|MY|0000000000100132177
D|64454|ATHENE GLB FUNDING*|SG|0000000000100225802
D|21552|ATLANTIA SPA*|SG|0000000000100185001
D|21261|ATLAS COPCO AB*|SG|0000000000100183961
D|57392|ATLASSIAN CORP PLC*|SG|0000000000100219534
D|19968|ATMOS ENERGY CORP*|SG|0000000000100178688
D|20058|ATON GRP FIN GMBH*|SG|0000000000100179150
D|57399|AU JOINT VENTURE*|TH|0000000003103359674
D|78857|AU RAIL TRACK CORP*|SG|0000000000100249377
D|78857|AU RAIL TRACK CORP*|MY|0000000000100221687
D|22634|AUCHAN HLDG SA*|SG|0000000000700120496
D|20836|AUCKLAND COUNCIL|SG|0000000000100182219
D|23507|AUCKLAND INTL AIRPT*|SG|0000000000100191194
D|23507|AUCKLAND INTL AIRPT*|MY|0000000000100217424
D|64840|AURIZON FIN PTY LTD*|MY|0000000000100139425
D|85302|AURIZON HLDGS LTD*|SG|0000000000100257559
D|24521|AURIZON NETWORK*|SG|0000000000100193296
D|24521|AURIZON NETWORK*|MY|0000000000100140091
D|25776|AUSGRID FIN PTY LTD*|TW|0000000000100000112
D|25776|AUSGRID FIN PTY LTD*|HK|0000000000100004239
D|25776|AUSGRID FIN PTY LTD*|SG|0000000000100196007
D|25776|AUSGRID FIN PTY LTD*|MY|0000000000100219733
D|24839|AUSNET SVC HLDG*|SG|0000000001900275548
D|24839|AUSNET SVC HLDG*|MY|0000000000100132189
D|7875|AUST PACIFIC AIRPORTS (MLB)*|SG|0000000000100163922
D|7875|AUST PACIFIC AIRPORTS (MLB)*|MY|0000000000100149678
D|23865|AUST POSTAL CORP*|TW|0000000000100000113
D|23865|AUST POSTAL CORP*|SG|0000000000100191807
D|75433|AUSTRA ENERGY MKT O*|SG|0000000000100244300
D|75433|AUSTRA ENERGY MKT O*|MY|0000000000100216181
D|6117|AUSTRACLEAR*|AU|0000000000100000142
D|29874|AUSTRALIA CATH UNI*|SG|0000000000100204086
D|74654|AUSTRALIAN CAP TERR*|MY|0000000000100214518
D|72070|AUSTRALIAN GAS NETW*|SG|0000000000100238110
D|16323|AUSTRALIAN WORLDWIDE EXPLOR*|SG|0000000000100139718
D|43|AUSTRIA|TW|0000000001800000092
D|20990|AUTO DATA PROCESS*|SG|0000000000100182856
D|78845|AUTODESK INC*|SG|0000000000100249369
D|9122|AUTOROUTES DU SUD DE LA FR*|SG|0000000000100152606
D|21554|AUTOSTRADE PER IT*|SG|0000000000100185004
D|24611|AUTOZONE INC*|SG|0000000000100193529
D|52210|AVA LAND DEV CL*|TH|0000000003103104087
D|80552|AVATEC.AI SPL*|SG|0000000000100199599
D|30233|AVERY DENNISON CORP*|SG|0000000000100204642
D|22396|AVI FUNDING CL*|SG|0000000000100187399
D|17554|AVIATION CAP GRP*|SG|0000000000100155524
D|61517|AVIC INTL F AND I*|TW|0000000000100000098
D|61517|AVIC INTL F AND I*|HK|0000000000100003880
D|61517|AVIC INTL F AND I*|SG|0000000000100165987
D|44302|AVIC INTL LEASING*|TW|0000000000100000129
D|44302|AVIC INTL LEASING*|HK|0000000000100004240
D|44302|AVIC INTL LEASING*|SG|0000000000100216077
D|15069|AVIVA PLC*|SG|0000000000100146106
D|15069|AVIVA PLC*|MY|0000000000100145047
D|15069|AVIVA PLC*|GB|0000000000100000030
D|56160|AVIVA SINGLIFE HLDG*|SG|0000000000100218253
D|56160|AVIVA SINGLIFE HLDG*|MY|0000000001900215477
D|57139|AWANBIRU TECHNO BHD*|SG|0000000001600110650
D|11823|AXA ASIA PACIFIC HLDGS LTD*|SG|0000000000100139312
D|15755|AXA SA*|SG|0000000000100114011
D|15755|AXA SA*|MY|0000000000100097664
D|12454|AXIATA GRP BHD*|SG|0000000000100139313
D|20052|AXIATA SPV1 (LAB)*|SG|0000000000100146347
D|15557|AXIATA SPV2 BHD*|SG|0000000000100166687
D|15557|AXIATA SPV2 BHD*|MY|0000000000100129298
D|48746|AXIATA SPV5 LBN LTD*|SG|0000000000100216599
D|8765|AXIS REAL ESTATE INVT TRUST*|SG|0000000000100149473
D|25137|AYC FIN LTD*|SG|0000000000100195055
D|2620|AYUDHYA-BGK|TH|0000000006600004383
D|21287|AZABU TMK TOKUTEI M*|JP|0000000000100000076
D|23671|AZURE NOVA INTL FIN*|TW|0000000000100000074
D|23671|AZURE NOVA INTL FIN*|HK|0000000000100003007
D|23671|AZURE NOVA INTL FIN*|SG|0000000000100191487
D|30464|AZURE ORBIT II INTL*|TW|0000000000100000109
D|30464|AZURE ORBIT II INTL*|SG|0000000000100170228
D|22518|AZURE ORBIT III INT*|TW|0000000000100000059
D|22518|AZURE ORBIT III INT*|SG|0000000000100196345
D|5373|AZURE ORBIT INTL FIN LTD*|SG|0000000000100162188
D|26635|AZURE ORBIT IV INTL*|HK|0000000000100003099
D|26635|AZURE ORBIT IV INTL*|SG|0000000000100197719
D|79478|BAE SYSTEMS PLC*|SG|0000000000200014919
D|5148|BAGAN CAPITAL LTD*|SG|0000000000200053917
D|18708|BAHRAIN MUMTALAKAT*|SG|0000000000200060211
D|83319|BAIC MOTOR CORP LTD*|SG|0000000000200095626
D|5784|BAIDU INC*|TW|0000000000200000036
