src_system,sub_system,data_cat,data_frq,record_type,counterparty_short_name,counterparty_full_name,address_line_0,address_line_1,address_line_2,address_line_3,city,country,postal_code,fax_number,telex_number,industry,is_broker,is_custodian,is_issuer,is_bank,is_subsidiary,is_corporate,primary_contact,primary_number,other_contact,other_number,subsidiary_level,counterparty_grandparent,counterparty_parent,resident_y_n,mas_industry_code,country_of_incorporation,cels_code,industry_group,src_id,processing_date,m_label
gmp,cis,sta,dly,D,CHILE,REPUBLIC OF CHILE,,,,,,Chile,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CHILE,CHILE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,COLOMBIA,REPUBLIC OF COLOMBIA,,,,,,Colombia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,COLOMBIA,COLOMBIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,COSTA RICA,COSTA RICA,,,,,,Costa Rica,,,,,N,N,Y,N,N,N,,,,,Subsidiary,COSTA RICA,COSTA RICA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CROATIA,CROATIA,,,,,,Croatia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CROATIA,CROATIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CYPRUS,CYPRUS,,,,,,Cyprus,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CYPRUS,CYPRUS,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,,,,,,Dominican Republic,,,,,N,N,Y,N,N,N,,,,,Subsidiary,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,DENMARK,KINGDOM OF DENMARK,,,,,,Denmark,,,,,N,N,Y,N,N,N,,,,,Subsidiary,DENMARK,DENMARK,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,NORWAY,KINGDOM OF NORWAY,,,,,,Norway,,,,,N,N,Y,N,N,N,,,,,Subsidiary,NORWAY,NORWAY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PORTUGAL,REPUBLIC OF PORTUGAL,,,,,,Portugal,,,,,N,N,Y,N,N,N,,,,,Subsidiary,PORTUGAL,PORTUGAL,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SPAIN,KINGDOM OF SPAIN,,,,,,Spain,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SPAIN,SPAIN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SWEDEN,KINGDOM OF SWEDEN,,,,,,Sweden,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SWEDEN,SWEDEN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,MEXICO,MEXICO,,,,,,Mexico,,,,,N,N,Y,N,N,N,,,,,Subsidiary,MEXICO,MEXICO,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,FEDERAL HOME LOAN BANK,FEDERAL HOME LOAN BANK,,,,,,United States,,,,,N,N,Y,N,N,N,,,,,Subsidiary,FEDERAL HOME LOAN BANK,FEDERAL HOME LOAN BANK,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,INDIA,INDIA,,,,,,India,,,,,N,N,Y,N,N,N,,,,,Subsidiary,INDIA,INDIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,THAILAND,THAILAND,,,,,,Thailand,,,,,N,N,Y,N,N,N,,,,,Branch,GOVT OF THAILAND GRP,GOVT OF THAILAND,,817001,THAILAND,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ICELAND,ICELAND,,,,,,Iceland,,,,,N,N,Y,N,N,N,,,,,Subsidiary,ICELAND,ICELAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SOUTH KOREA,SOUTH KOREA,,,,,,Korea (the Republic of),,,,,N,N,Y,N,N,N,,,,,Subsidiary,SOUTH KOREA,SOUTH KOREA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,TAIWAN,TAIWAN,,,,,,Taiwan,,,,,N,N,Y,N,N,N,,,,,Subsidiary,TAIWAN,TAIWAN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,MALAYSIA,MALAYSIA,,,,,,Malaysia,,,,,N,N,Y,N,N,N,,,,,Branch,GOVT OF MALAYSIA GRP,GOVT OF MALAYSIA,,817001,MALAYSIA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PHILIPPINES,REPUBLIC OF PHILIPPINES,,,,,,Philippines,,,,,N,N,Y,N,N,N,,,,,Subsidiary,PHILIPPINES,PHILIPPINES,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,INDONESIA,INDONESIA,,,,,,Indonesia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,INDONESIA,INDONESIA,,,INDONESIA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,HONG KONG,HONG KONG,,,,,,Hong Kong,,,,,N,N,Y,N,N,N,,,,,Subsidiary,HONG KONG,HONG KONG,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PROVINCE DE QUEBEC,PROVINCE DE QUEBEC,,,,,,Canada,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,PROVINCE DE QUEBEC,PROVINCE DE QUEBEC,,817004,CANADA,,OTH-Foreign Provincial Government,gmp_cis_sta_dly_counterparty,20251201,898
gmp,cis,sta,dly,D,TURKEY,REPUBLIC OF TURKEY,,,,,,Turkey,,,,,N,N,Y,N,N,N,,,,,Subsidiary,TURKEY,TURKEY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,RUSSIAN FEDERATION,RUSSIAN FEDERATION,,,,,,Russian federation,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,RUSSIAN FEDERATION,RUSSIAN FEDERATION,,817001,RUSSIA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CITY MOSCOW,CITY OF MOSCOW,,,,,,Russian federation,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CITY MOSCOW,CITY MOSCOW,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,JAPAN,GOVERNMENT OF JAPAN,,,,,,Japan,,,,,N,N,Y,N,N,N,,,,,Subsidiary,JAPAN,JAPAN,,,JAPAN,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,GERMANY,FEDERAL REPUBLIC OF GERMANY,,,,,,Germany,,,,,N,N,Y,N,N,N,,,,,Subsidiary,GERMANY,GERMANY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,AUSTRALIA,COMMONWEALTH OF AUSTRALIA,,,,,,Australia,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,AUSTRALIA,AUSTRALIA,,817001,AUSTRALIA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,UNITED KINGDOM,UNITED KINGDOM - UK TREASURY,,,,,,United Kingdom,,,,,N,N,Y,N,N,N,,,,,Subsidiary,UNITED KINGDOM,UNITED KINGDOM,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,UNITED STATES,UNITED STATES OF AMERICA - US TREASURY,,,,,,United States,,,,,N,N,Y,N,N,N,,,,,Subsidiary,UNITED STATES,UNITED STATES,,,UNITED STATES,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,BELGIUM,KINGDOM OF BELGIUM,,,,,,Belgium,,,,,N,N,Y,N,N,N,,,,,Subsidiary,BELGIUM,BELGIUM,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,FRANCE,FRENCH REPUBLIC,,,,,,France,,,,,N,N,Y,N,N,N,,,,,Subsidiary,FRANCE,FRANCE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ITALY,ITALIAN REPUBLIC,,,,,,Italy,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,ITALY,ITALY,,817001,ITALY,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,41
gmp,cis,sta,dly,D,NETHERLANDS,KINGDOM OF THE NETHERLANDS,,,,,,Netherlands,,,,,N,N,Y,N,N,N,,,,,Subsidiary,NETHERLANDS,NETHERLANDS,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,AUSTRIA,REPUBLIC OF AUSTRIA,,,,,,Austria,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,AUSTRIA,AUSTRIA,,817001,AUSTRIA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,43
gmp,cis,sta,dly,D,FANNIE MAE,FANNIE MAE,,,,,,United States,,,,,N,N,Y,N,N,N,,,,,Subsidiary,FANNIE MAE,FANNIE MAE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,FREDDIE MAC,FREDDIE MAC,,,,,,United States,,,,,N,N,Y,N,N,N,,,,,Subsidiary,FREDDIE MAC,FREDDIE MAC,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CHINA,PEOPLE'S REPUBLIC OF CHINA,,,,,,China,,,,,N,N,Y,N,N,N,,,,,Branch,GOVT OF CHINA GRP,GOVT OF CHINA,,817001,CHINA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CANADA,CANADA,,,,,,Canada,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CANADA,CANADA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SOUTH AFRICA,SOUTH AFRICA,,,,,,South Africa,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SOUTH AFRICA,SOUTH AFRICA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CZECH REPUBLIC,CZECH REPUBLIC,,,,,,Czech Republic,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CZECH REPUBLIC,CZECH REPUBLIC,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,JAMAICA,JAMAICA,,,,,,Jamaica,,,,,N,N,Y,N,N,N,,,,,Subsidiary,JAMAICA,JAMAICA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,KAZAKHSTAN,KAZAKHSTAN,,,,,,Kazakhstan,,,,,N,N,Y,N,N,N,,,,,Subsidiary,KAZAKHSTAN,KAZAKHSTAN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,LATVIA,LATVIA,,,,,,Latvia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,LATVIA,LATVIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,LEBANON,LEBANESE REPUBLIC,,,,,,Lebanon,,,,,N,N,Y,N,N,N,,,,,Subsidiary,LEBANON,LEBANON,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,LITHUANIA,LITHUANIA,,,,,,Lithuania,,,,,N,N,Y,N,N,N,,,,,Subsidiary,LITHUANIA,LITHUANIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,QATAR,QATAR,,,,,,Qatar,,,,,N,N,Y,N,N,N,,,,,Subsidiary,QATAR,QATAR,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ROMANIA,ROMANIA,,,,,,Romania,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,ROMANIA,ROMANIA,,817001,ROMANIA,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,967
gmp,cis,sta,dly,D,SLOVAKIA,SLOVAKIA,,,,,,Slovakia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SLOVAKIA,SLOVAKIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,GUATEMALA,REPUBLIC OF GUATEMALA,,,,,,Guatemala,,,,,N,N,Y,N,N,N,,,,,Subsidiary,GUATEMALA,GUATEMALA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ESTONIA,REPUBLIC OF ESTONIA,,,,,,Estonia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,ESTONIA,ESTONIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,BAHRAIN,KINGDOM OF BAHRAIN,,,,,,Bahrain,,,,,N,N,Y,N,N,N,,,,,Subsidiary,BAHRAIN,BAHRAIN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SLOVENIA,REPUBLIC OF SLOVENIA,,,,,,Slovenia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SLOVENIA,SLOVENIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,MOROCCO,KINGDOM OF MOROCCO,,,,,,Morocco,,,,,N,N,Y,N,N,N,,,,,Subsidiary,MOROCCO,MOROCCO,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PAKISTAN,ISLAMIC REPUBLIC OF PAKISTAN,,,,,,Pakistan,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,PAKISTAN,PAKISTAN,,817001,PAKISTAN,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CAISSE D AMORTISSEMENT DETTE SOC,CAISSE D'AMORTISSEMENT DE LA DETTE SOCIALE,,,,,,France,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CAISSE D AMORTISSEMENT DETTE SOC,CAISSE D AMORTISSEMENT DETTE SOC,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ECUADOR,REPUBLIC OF ECUADOR,,,,,,Ecuador,,,,,N,N,Y,N,N,N,,,,,Subsidiary,ECUADOR,ECUADOR,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SERBIA,REPUBLIC OF SERBIA,,,,,,Serbia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SERBIA,SERBIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,TRINIDAD AND TOBAGO,REPUBLIC OF TRINIDAD AND TOBAGO,,,,,,Trinidad and Tobago,,,,,N,N,Y,N,N,N,,,,,Subsidiary,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ISRAEL,STATE OF ISRAEL,,,,,,Israel,,,,,N,N,Y,N,N,N,,,,,Subsidiary,ISRAEL,ISRAEL,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,"DOMINION RESOURCES, INC.","DOMINION RESOURCES, INC.",,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,"DOMINION RESOURCES, INC.","DOMINION RESOURCES, INC.",,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,EGYPT,EGYPT,,,,,,Egypt,,,,,N,N,Y,N,N,N,,,,,Subsidiary,EGYPT,EGYPT,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,EL SALVADOR,EL SALVADOR,,,,,,El Salvador,,,,,N,N,Y,N,N,N,,,,,Subsidiary,EL SALVADOR,EL SALVADOR,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PANAMA,PANAMA,,,,,,Panama,,,,,N,N,Y,N,N,N,,,,,Subsidiary,PANAMA,PANAMA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PERU,PERU,,,,,,Peru,,,,,N,N,Y,N,N,N,,,,,Subsidiary,PERU,PERU,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,URUGUAY,URUGUAY,,,,,,Uruguay,,,,,N,N,Y,N,N,N,,,,,Subsidiary,URUGUAY,URUGUAY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,VENEZUELA,VENEZUELA,,,,,,"Venezuela, Bolivarian Republic of",,,,,N,N,Y,N,N,N,,,,,Subsidiary,VENEZUELA,VENEZUELA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,VIETNAM,VIETNAM,,,,,,Viet Nam,,,,,N,N,Y,N,N,N,,,,,Subsidiary,VIETNAM,VIETNAM,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,LUXEMBOURG,LUXEMBOURG,,,,,,Luxembourg,,,,,N,N,Y,N,N,N,,,,,Subsidiary,LUXEMBOURG,LUXEMBOURG,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,NEW ZEALAND,NEW ZEALAND,,,,,,New Zealand,,,,,N,N,Y,N,N,N,,,,,Subsidiary,NEW ZEALAND,NEW ZEALAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,POLAND,POLAND,,,,,,Poland,,,,,N,N,Y,N,N,N,,,,,Subsidiary,POLAND,POLAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SWITZERLAND,SWITZERLAND,,,,,,Switzerland,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SWITZERLAND,SWITZERLAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SINGAPORE,SINGAPORE,,,,,,Singapore,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SINGAPORE,SINGAPORE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,WILLIAMS COMPANIES INC,WILLIAMS COMPANIES INC,,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,WILLIAMS COMPANIES INC,WILLIAMS COMPANIES INC,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SEMPRA ENERGY,SEMPRA ENERGY,,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,SEMPRA ENERGY,SEMPRA ENERGY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,MACEDONIA,REPUBLIC OF MACEDONIA,,,,,,"Macedonia, the former Yugoslav Republic of",,,,,N,N,Y,N,N,N,,,,,Subsidiary,MACEDONIA,MACEDONIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ONEOK INC.,ONEOK INC,,,,,,United States,000000,,,,N,N,Y,N,N,Y,,,,,Subsidiary,ONEOK INC.,ONEOK INC.,,107000,UNITED STATES,,AFM-Oil & Gas Extraction (ESG),gmp_cis_sta_dly_counterparty,20251201,1067
gmp,cis,sta,dly,D,KINDER MORGAN INC.,KINDER MORGAN INC.,,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,KINDER MORGAN INC.,KINDER MORGAN INC.,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,EL PASO CORPORATION,EL PASO CORPORATION,,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,EL PASO CORPORATION,EL PASO CORPORATION,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,,,,,,United Arab Emirates,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,,817001,UNITED ARAB EMIRATES,,OTH-Foreign Central Government,gmp_cis_sta_dly_counterparty,20251201,1085
gmp,cis,sta,dly,D,SULTANATE OF OMAN,SULTANATE OF OMAN,,,,,,Oman,,,,,N,N,Y,N,N,N,,,,,Subsidiary,SULTANATE OF OMAN,SULTANATE OF OMAN,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,PG AND E CORPORATION,PACIFIC GAS & ELECTRICITY CORPORATION,,,,,,United States,,,,,N,N,Y,N,N,Y,,,,,Subsidiary,PG AND E CORPORATION,PG AND E CORPORATION,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,IDBI BANK,IDBI BANK LIMITED,IDBI TOWER CUFFE PARADE,"WTC COMPLEX,",,,MUMBAI,India,400005,,,,N,N,Y,Y,N,Y,,,,,Branch,IDBI BK,IDBI BK,,601101,INDIA,IDININBB,FIH-Commercial Bank,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,SINGTEL,SINGAPORE TELECOMMUNICATIONS LIMITED,10 EUNOS ROAD 8,#07-31 SINGAPORE POST CENTRE,SINGAPORE 408600,,SINGAPORE,Singapore,408600,,,,N,N,Y,N,N,N,,,,,Subsidiary,SINGTEL,SINGTEL,,503005,SINGAPORE,,TSC-Telecommunications Infrastructure (ESG),gmp_cis_sta_dly_counterparty,20251201,1128
gmp,cis,sta,dly,D,BARCLAYS BANK,BARCLAYS BANK PLC,5 THE NORTH COLONNADE CANARY WHARF,LONDON E144PU,UNITED KINGDOM,,LONDON,United Kingdom,,6395 3098,Treasury Operations,,N,Y,Y,Y,N,Y,,6395 3063 / 3000,,,Branch,BARCLAYS BK GRP,BARCLAYS BK,,601101,UNITED KINGDOM,BARCGB22,FIH-Commercial Bank,gmp_cis_sta_dly_counterparty,20251201,1129
gmp,cis,sta,dly,D,AIR ASIA,AIRASIA BHD,,,,,,Malaysia,000000,,,,N,N,Y,N,N,Y,,,,,Subsidiary,AIR ASIA,AIR ASIA,,501003,MALAYSIA,,TSC-Air Transport,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,KT CORP,KT CORPORATION,,,,,,Korea (the Republic of),,,,,N,N,Y,N,N,N,,,,,Subsidiary,KT CORP,KT CORP,,,SOUTH KOREA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,TELEKOM MALAYSIA,TELEKOM MALAYSIA BERHAD,,,,,,Malaysia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,TELEKOM MALAYSIA,TELEKOM MALAYSIA,,,MALAYSIA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,POSCO,POSCO,,,,,,Korea (the Republic of),,,,,N,N,Y,N,N,N,,,,,Subsidiary,POSCO,POSCO,,,SOUTH KOREA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CNOOC,CNOOC LIMITED,,,,,,China,000000,,,,N,N,Y,N,N,N,,,,,Subsidiary,CNOOC,CNOOC,,407000,HONG KONG,,"IEW-Petroleum, Mineral Fuels & Related Products (ESG)",gmp_cis_sta_dly_counterparty,20251201,1134
gmp,cis,sta,dly,D,KOREA ELECTRIC,KOREA ELECTRIC POWER COMPANY,,,,,,Korea (the Republic of),,,,,N,N,Y,N,N,N,,,,,Subsidiary,KOREA ELECTRIC,KOREA ELECTRIC,,,SOUTH KOREA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,INDUSTRIAL BANK OF KOREA,INDUSTRIAL BANK OF KOREA,"50, 2-GA ULCHI-RO",CHUNG-GU,SEOUL 100 758,,SEOUL,Korea (the Republic of),,,,,N,N,Y,Y,N,Y,,,,,Branch,INDL BK OF KOREA GRP,INDL BK OF KOREA,,601122,SOUTH KOREA,IBKKKRSE,FIH-National Development Banks,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,KDB,THE KOREA DEVELOPMENT BANK,"16-3, YEOUIDO-DONG,","YEONGDEUNGPO-GU,",,,SEOUL,Korea (the Republic of),150-973,,,,N,N,Y,Y,N,N,,,,,Branch,KOREA DEV'T BK GRP,KOREA DEVT BK,,601122,SOUTH KOREA,KOBAKRSE,FIH-National Development Banks,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,WOORI BANK,WOORI BANK CO LTD,"SEOUL,JUNG-GU",SOGONG-RO51,04632,,SEOUL,Korea (the Republic of),,,,,N,N,Y,Y,N,N,,,,,Branch,WOORI FINANCE GRP,WOORI BK,,601101,SOUTH KOREA,CBKOKRSE,FIH-Commercial Bank,gmp_cis_sta_dly_counterparty,20251201,1163
